,count,mean,median,std,min,max,iqr
score_technical,60.0,3.7958333333333334,3.75,0.7584155912423926,2.25,5.0,0.8125
score_soft,60.0,3.9458333333333333,4.0,0.7146939410534632,2.5,5.0,1.0
score_job_readiness,60.0,3.6041666666666665,3.5,0.876109063071191,2.0,5.0,1.25
score_industry_trend,60.0,3.9833333333333334,3.6666666666666665,0.8446686688135945,2.6666666666666665,5.0,1.4166666666666665
